Warning : License for product VCSRuntime_Net(725) will expire within 29 days, on: 23-nov-2022.

If you would like to temporarily disable this message, set 
 the VCS_LIC_EXPIRE_WARNING environment variable to the number of days
before expiration that you want this message to start (the minimum is 0).
Chronologic VCS simulator copyright 1991-2020
Contains Synopsys proprietary information.
Compiler version Q-2020.03-SP2_Full64; Runtime version Q-2020.03-SP2_Full64;  Oct 26 17:01 2022
Preloading hehe_tb.magicmemory from isa/build/hex/rv64ui/add.hex
VCD+ Writer Q-2020.03-SP2_Full64 Copyright (c) 1991-2020 by Synopsys Inc.
*Verdi* Loading libsscore_vcs202003.so
FSDB Dumper for VCS, Release Verdi_Q-2020.03-SP2, Linux x86_64/64bit, 08/31/2020
(C) 1996 - 2020 by Synopsys, Inc.
*Verdi* : Create FSDB file './logs/waves.fsdb'
*Verdi* : Begin traversing the scope (hehe_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +struct dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +mda dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
*Verdi* : fsdbDumpon - All FSDB files at 0 ps.
 00000013 80000478 
 00208733 8000047c 
 00120213 80000480 
 00200293 80000484 
 fe5212e3 80000488 
 00f00093 8000046c 
 00b00113 80000470 
 00000013 80000474 
 00000013 80000478 
 00208733 8000047c 
 00120213 80000480 
 00200293 80000484 
 fe5212e3 80000488 
 01a00393 8000048c 
 01a00393 8000048c 
 01a00393 8000048c 
 1e771a63 80000490 
 01a00193 80000494 
 00000213 80000498 
 00d00093 8000049c 
 00000013 800004a0 
 00b00113 800004a4 
 00208733 800004a8 
 00120213 800004ac 
 00200293 800004b0 
 fe5214e3 800004b4 
 00d00093 8000049c 
 00000013 800004a0 
 00b00113 800004a4 
 00208733 800004a8 
 00120213 800004ac 
 00200293 800004b0 
 fe5214e3 800004b4 
 01800393 800004b8 
 01800393 800004b8 
 01800393 800004b8 
 1c771463 800004bc 
 01b00193 800004c0 
 00000213 800004c4 
 00e00093 800004c8 
 00000013 800004cc 
 00b00113 800004d0 
 00000013 800004d4 
 00208733 800004d8 
 00120213 800004dc 
 00200293 800004e0 
 fe5212e3 800004e4 
 00e00093 800004c8 
 00000013 800004cc 
 00b00113 800004d0 
 00000013 800004d4 
 00208733 800004d8 
 00120213 800004dc 
 00200293 800004e0 
 fe5212e3 800004e4 
 00e00093 800004c8 
 00e00093 800004c8 
 01900393 800004e8 
 18771c63 800004ec 
 01c00193 800004f0 
 00000213 800004f4 
 00f00093 800004f8 
 00000013 800004fc 
 00000013 80000500 
 00b00113 80000504 
 00208733 80000508 
 00120213 8000050c 
 00200293 80000510 
 fe5212e3 80000514 
 00f00093 800004f8 
 00000013 800004fc 
 00000013 80000500 
 00b00113 80000504 
 00208733 80000508 
 00120213 8000050c 
 00200293 80000510 
 fe5212e3 80000514 
 01a00393 80000518 
 01a00393 80000518 
 01a00393 80000518 
 16771463 8000051c 
 01d00193 80000520 
 00000213 80000524 
 00b00113 80000528 
 00d00093 8000052c 
 00208733 80000530 
 00120213 80000534 
 00200293 80000538 
 fe5216e3 8000053c 
 00b00113 80000528 
 00d00093 8000052c 
 00208733 80000530 
 00120213 80000534 
 00200293 80000538 
 fe5216e3 8000053c 
 01800393 80000540 
 01800393 80000540 
 01800393 80000540 
 14771063 80000544 
 01e00193 80000548 
 00000213 8000054c 
 00b00113 80000550 
 00e00093 80000554 
 00000013 80000558 
 00208733 8000055c 
 00120213 80000560 
 00200293 80000564 
 fe5214e3 80000568 
 00b00113 80000550 
 00e00093 80000554 
 00000013 80000558 
 00208733 8000055c 
 00120213 80000560 
 00200293 80000564 
 fe5214e3 80000568 
 00b00113 80000550 
 00b00113 80000550 
 01900393 8000056c 
 10771a63 80000570 
 01f00193 80000574 
